    x-coordinate,    y-coordinate,     temperature
3.43E-02,5.75E-03,2.99E+02
3.47E-02,5.25E-03,2.93E+02
3.53E-02,4.75E-03,2.89E+02
3.58E-02,4.25E-03,2.88E+02
3.38E-02,5.75E-03,2.98E+02
3.43E-02,5.25E-03,2.93E+02
3.47E-02,4.75E-03,2.89E+02
3.53E-02,4.25E-03,2.87E+02
3.33E-02,5.75E-03,2.98E+02
3.38E-02,5.25E-03,2.93E+02
3.43E-02,4.75E-03,2.89E+02
3.47E-02,4.25E-03,2.87E+02
3.27E-02,5.75E-03,2.97E+02
3.33E-02,5.25E-03,2.92E+02
3.38E-02,4.75E-03,2.89E+02
3.43E-02,4.25E-03,2.87E+02
3.23E-02,5.75E-03,2.97E+02
3.27E-02,5.25E-03,2.92E+02
3.33E-02,4.75E-03,2.89E+02
3.38E-02,4.25E-03,2.87E+02
3.18E-02,5.75E-03,2.97E+02
3.23E-02,5.25E-03,2.92E+02
3.27E-02,4.75E-03,2.88E+02
3.33E-02,4.25E-03,2.87E+02
3.12E-02,5.75E-03,2.96E+02
3.18E-02,5.25E-03,2.91E+02
3.23E-02,4.75E-03,2.88E+02
3.27E-02,4.25E-03,2.87E+02
3.13E-02,5.25E-03,2.91E+02
3.18E-02,4.75E-03,2.88E+02
3.23E-02,4.25E-03,2.86E+02
3.13E-02,4.75E-03,2.88E+02
3.18E-02,4.25E-03,2.86E+02
3.12E-02,4.25E-03,2.86E+02
2.98E-02,9.75E-03,2.99E+02
2.92E-02,9.75E-03,2.98E+02
2.98E-02,9.25E-03,2.99E+02
2.88E-02,9.75E-03,2.97E+02
2.92E-02,9.25E-03,2.98E+02
2.98E-02,8.75E-03,2.99E+02
2.82E-02,9.75E-03,2.97E+02
2.88E-02,9.25E-03,2.97E+02
2.92E-02,8.75E-03,2.98E+02
2.98E-02,8.25E-03,2.98E+02
2.78E-02,9.75E-03,2.96E+02
2.82E-02,9.25E-03,2.97E+02
2.88E-02,8.75E-03,2.97E+02
2.92E-02,8.25E-03,2.98E+02
2.98E-02,7.75E-03,2.98E+02
2.73E-02,9.75E-03,2.96E+02
2.78E-02,9.25E-03,2.96E+02
2.82E-02,8.75E-03,2.97E+02
2.88E-02,8.25E-03,2.97E+02
2.92E-02,7.75E-03,2.98E+02
2.98E-02,7.25E-03,2.98E+02
2.68E-02,9.75E-03,2.95E+02
2.73E-02,9.25E-03,2.96E+02
2.78E-02,8.75E-03,2.96E+02
2.82E-02,8.25E-03,2.97E+02
2.88E-02,7.75E-03,2.97E+02
2.92E-02,7.25E-03,2.98E+02
2.98E-02,6.75E-03,2.98E+02
2.63E-02,9.75E-03,2.95E+02
2.68E-02,9.25E-03,2.95E+02
2.73E-02,8.75E-03,2.96E+02
2.78E-02,8.25E-03,2.96E+02
2.82E-02,7.75E-03,2.97E+02
2.88E-02,7.25E-03,2.97E+02
